false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0003736920777279522,0.0,0.4296676533450804
0.0003736920777279522,0.012121212121212121,0.3960802815134193
0.0014947683109118087,0.012121212121212121,0.37350082489726477
0.0014947683109118087,0.021212121212121213,0.35666855532747965
0.0033632286995515697,0.021212121212121213,0.32587170391366643
0.0033632286995515697,0.024242424242424242,0.3158055541614377
0.004110612855007474,0.024242424242424242,0.313607942574068
0.004110612855007474,0.02727272727272727,0.3121006457024466
0.00523168908819133,0.02727272727272727,0.303611524115793
0.00523168908819133,0.030303030303030304,0.2986594677793362
0.005605381165919282,0.030303030303030304,0.29854182778832283
0.005605381165919282,0.03333333333333333,0.2952598267032667
0.011210762331838564,0.03333333333333333,0.2691135116716618
0.011210762331838564,0.051515151515151514,0.2637188742602466
0.013452914798206279,0.051515151515151514,0.25189615563252593
0.013452914798206279,0.05454545454545454,0.2511425694373326
0.015321375186846039,0.05454545454545454,0.24748974104414534
0.015321375186846039,0.05757575757575758,0.2458713298033257
0.01569506726457399,0.05757575757575758,0.24513227229842835
0.01569506726457399,0.06060606060606061,0.2445910240350838
0.016068759342301942,0.06060606060606061,0.24450751467793516
0.016068759342301942,0.06363636363636363,0.24372432123847365
0.016816143497757848,0.06363636363636363,0.2418161986079815
0.016816143497757848,0.0696969696969697,0.2397701752442395
0.017563527653213753,0.0696969696969697,0.23587134209202396
0.017563527653213753,0.07878787878787878,0.23364737693436108
0.018310911808669655,0.07878787878787878,0.2329206076860036
0.018310911808669655,0.08181818181818182,0.23276917843111924
0.02391629297458894,0.08181818181818182,0.2242858802854027
0.02391629297458894,0.08484848484848485,0.2228744186771181
0.026158445440956652,0.08484848484848485,0.21675716280973376
0.026158445440956652,0.08787878787878788,0.215904613433927
0.02952167414050822,0.08787878787878788,0.2128522596312621
0.02952167414050822,0.09090909090909091,0.21229751462891894
0.03139013452914798,0.09090909090909091,0.20870919994903703
0.03139013452914798,0.09393939393939393,0.20850784557526197
0.03587443946188341,0.09393939393939393,0.20546307792693122
0.03587443946188341,0.09696969696969697,0.20537529821228856
0.03662182361733931,0.09696969696969697,0.2051211099377902
0.03662182361733931,0.1,0.204543335515084
0.03699551569506727,0.1,0.20432631433962248
0.03699551569506727,0.10303030303030303,0.2039396230145299
0.03736920777279522,0.10303030303030303,0.2028348063579727
0.03736920777279522,0.10606060606060606,0.20239571083469757
0.03811659192825112,0.10606060606060606,0.2014482637914393
0.03811659192825112,0.10909090909090909,0.20033185578602503
0.03849028400597907,0.10909090909090909,0.20010939643159942
0.03849028400597907,0.11212121212121212,0.2000086820594985
0.03886397608370702,0.11212121212121212,0.19966155393287238
0.03886397608370702,0.11515151515151516,0.19953309569272487
0.03998505231689088,0.11515151515151516,0.19871332939963868
0.03998505231689088,0.11818181818181818,0.19844213156782892
0.04110612855007474,0.11818181818181818,0.19773830426172703
0.04110612855007474,0.12121212121212122,0.19751120804596797
0.04185351270553064,0.12121212121212122,0.19666122868875888
0.04185351270553064,0.12727272727272726,0.19646322989314308
0.042227204783258594,0.12727272727272726,0.19623470849655347
0.042227204783258594,0.13636363636363635,0.19503111996505507
0.04446935724962631,0.13636363636363635,0.1929347165452833
0.04446935724962631,0.14545454545454545,0.192390646588024
0.04484304932735426,0.14545454545454545,0.1923585851726045
0.04484304932735426,0.1484848484848485,0.19186707188274432
0.04970104633781764,0.1484848484848485,0.18839561013968414
0.04970104633781764,0.15151515151515152,0.18829956651939248
0.05007473841554559,0.15151515151515152,0.1871921939644148
0.05007473841554559,0.15757575757575756,0.1870627048522249
0.05044843049327354,0.15757575757575756,0.18705919390194004
0.05044843049327354,0.1606060606060606,0.18704679168780639
0.051195814648729444,0.1606060606060606,0.18583953976996295
0.051195814648729444,0.16363636363636364,0.18570205079544577
0.053811659192825115,0.16363636363636364,0.1837069174341561
0.053811659192825115,0.16666666666666666,0.1836743920046058
0.054185351270553066,0.16666666666666666,0.18361332400754712
0.054185351270553066,0.1696969696969697,0.1829417916699684
0.05866965620328849,0.1696969696969697,0.18141615457702853
0.05866965620328849,0.17272727272727273,0.18140161718254935
0.05941704035874439,0.17272727272727273,0.18090663088082806
0.05941704035874439,0.17575757575757575,0.18080317901302884
0.0609118086696562,0.17575757575757575,0.1800378479111249
0.0609118086696562,0.1787878787878788,0.17962718984880435
0.061285500747384154,0.1787878787878788,0.17938874910434913
0.061285500747384154,0.18181818181818182,0.17924247482796887
0.06315396113602392,0.18181818181818182,0.17781124839489548
0.06315396113602392,0.18484848484848485,0.17757242869429765
0.06352765321375187,0.18484848484848485,0.17719067891573587
0.06352765321375187,0.19090909090909092,0.176931543294206
0.06427503736920777,0.19090909090909092,0.17684846037190047
0.06427503736920777,0.2,0.17641805896305454
0.06502242152466367,0.2,0.1759322610678265
0.06502242152466367,0.20303030303030303,0.17592843062616065
0.06539611360239163,0.20303030303030303,0.1757996807218343
0.06539611360239163,0.20606060606060606,0.1755128310091665
0.06614349775784753,0.20606060606060606,0.17525519518251179
0.06614349775784753,0.20909090909090908,0.1751995255709487
0.06651718983557549,0.20909090909090908,0.17501525000121224
0.06651718983557549,0.21212121212121213,0.17488511478081795
0.06801195814648729,0.21212121212121213,0.17419772814690787
0.06801195814648729,0.21515151515151515,0.17407054125167412
0.06988041853512705,0.21515151515151515,0.17322265594168884
0.06988041853512705,0.21818181818181817,0.1731896103451973
0.07100149476831091,0.21818181818181817,0.17249465790044913
0.07100149476831091,0.22121212121212122,0.17203799626696242
0.07137518684603886,0.22121212121212122,0.1719918552587577
0.07137518684603886,0.22424242424242424,0.17195617721295542
0.07511210762331838,0.22424242424242424,0.16942154894932493
0.07511210762331838,0.23030303030303031,0.16873665001375862
0.07772795216741404,0.23030303030303031,0.16760416356118735
0.07772795216741404,0.23333333333333334,0.16725828892864744
0.08146487294469357,0.23333333333333334,0.1658744732608715
0.08146487294469357,0.23939393939393938,0.16503368194242835
0.08221225710014948,0.23939393939393938,0.16411248574131776
0.08221225710014948,0.24242424242424243,0.16387623071973392
0.08258594917787743,0.24242424242424243,0.16353858469526733
0.08258594917787743,0.24545454545454545,0.1634354725004615
0.08931240657698057,0.24545454545454545,0.16101421335556493
0.08931240657698057,0.24848484848484848,0.160854040573566
0.09005979073243647,0.24848484848484848,0.1605318462804796
0.09005979073243647,0.2515151515151515,0.16000478041210736
0.09080717488789238,0.2515151515151515,0.15994052360537292
0.09080717488789238,0.2545454545454545,0.15989983635768334
0.09192825112107623,0.2545454545454545,0.15933786220745444
0.09192825112107623,0.25757575757575757,0.15904630567677053
0.09230194319880418,0.25757575757575757,0.15892382444696052
0.09230194319880418,0.2606060606060606,0.15879498167190648
0.09417040358744394,0.2606060606060606,0.15836795774531082
0.09417040358744394,0.2636363636363636,0.15810247694981053
0.0945440956651719,0.2636363636363636,0.15797873474500132
0.0945440956651719,0.26666666666666666,0.15794618043657693
0.0960388639760837,0.26666666666666666,0.15763171822391955
0.0960388639760837,0.2696969696969697,0.15739878444080185
0.09828101644245142,0.2696969696969697,0.15680192639653245
0.09828101644245142,0.2727272727272727,0.15675548284737517
0.09940209267563528,0.2727272727272727,0.15660741310168572
0.09940209267563528,0.27575757575757576,0.15649356033496742
0.10014947683109118,0.27575757575757576,0.15630156448033164
0.10014947683109118,0.2787878787878788,0.15618784207330838
0.10127055306427504,0.2787878787878788,0.156050731077253
0.10127055306427504,0.2878787878787879,0.1557029627849523
0.1038863976083707,0.2878787878787879,0.15495454676569206
0.1038863976083707,0.2909090909090909,0.1548301291529411
0.10612855007473841,0.2909090909090909,0.15357476190054753
0.10612855007473841,0.29393939393939394,0.15328810060846632
0.10986547085201794,0.29393939393939394,0.152285947204988
0.10986547085201794,0.296969696969697,0.15223891806985373
0.1109865470852018,0.296969696969697,0.15163533055554634
0.1109865470852018,0.30303030303030304,0.15131666287619874
0.11434977578475336,0.30303030303030304,0.14989030273806528
0.11434977578475336,0.30606060606060603,0.14987602008823298
0.11509715994020926,0.30606060606060603,0.14983296678446423
0.11509715994020926,0.31212121212121213,0.14974869185055478
0.11584454409566518,0.31212121212121213,0.14966855456747843
0.11584454409566518,0.3151515151515151,0.14966136350980777
0.11808669656203288,0.3151515151515151,0.14929256777104558
0.11808669656203288,0.3181818181818182,0.14927694830656163
0.11920777279521674,0.3181818181818182,0.14907471199494687
0.11920777279521674,0.3212121212121212,0.14888924328373712
0.12593423019431987,0.3212121212121212,0.14742380611917769
0.12593423019431987,0.3242424242424242,0.14738581690760685
0.12855007473841554,0.3242424242424242,0.14628201484069914
0.12855007473841554,0.32727272727272727,0.1461787023785182
