threshold,roc_auc,pr_auc,recall,precision,f1,specificity,brier,log_loss,tn,fp,fn,tp,predicted_positive_rate,model,description,selection_score,training_seconds
0.5,0.6296164336923946,0.19615017772252707,0.5275590551181102,0.1665630826600373,0.2531884742560227,0.6628959276018099,0.2299667050086358,0.6545958068195523,2637,1341,240,268,0.3586714222024075,Logistic Regression,Interpretable class-weighted linear baseline.,0.2230316653069741,0.41611258301418275
0.5,0.6415858085612601,0.18544945728543213,0.48031496062992124,0.18541033434650456,0.2675438596491228,0.730517848164907,0.20208793891238594,0.5909306773975928,2906,1072,264,244,0.29335711101203743,XGBoost,Cost-sensitive gradient-boosted decision trees.,0.21348698893524742,0.6181957079679705
0.5,0.6430569906137298,0.18435076552209193,0.31299212598425197,0.21143617021276595,0.2523809523809524,0.850930115635998,0.17870957013042024,0.5436162972153376,3385,593,349,159,0.1676326348640214,Random Forest,Non-linear ensemble with balanced bootstrap weighting.,0.21292942365017004,0.6721890409826301
0.5,0.5,0.11324119482835489,0.0,0.0,0.0,1.0,0.10041762847845338,0.35323864699128055,3978,0,508,0,0.0,Dummy,No-skill baseline using the observed class prevalence.,0.13623284225878582,0.24098879098892212
