threshold,roc_auc,pr_auc,recall,precision,f1,specificity,brier,log_loss,tn,fp,fn,tp,predicted_positive_rate,model,description,selection_score,training_seconds
0.5,0.6116826601425953,0.19833151312852443,0.4704724409448819,0.16159567275185938,0.24056366381479619,0.6882855706385118,0.23600743444577585,0.6677079445722313,2738,1240,269,239,0.3296923762817655,Logistic Regression,Interpretable class-weighted linear baseline.,0.22419549744673867,0.08473445801064372
0.5,0.6102273132148074,0.17797502039665486,0.45866141732283466,0.17007299270072992,0.24813631522896698,0.7141779788838613,0.22915946016052893,0.6517306441561506,2841,1137,275,233,0.3053945608559964,XGBoost,Cost-sensitive gradient-boosted decision trees.,0.20390319685418465,0.23285591695457697
0.5,0.601991811261149,0.1779049470877479,0.3858267716535433,0.17088055797733218,0.23685800604229607,0.7609351432880844,0.21777743188610146,0.6270460651311257,3027,951,312,196,0.25568435131520284,Random Forest,Non-linear ensemble with balanced bootstrap weighting.,0.20364898901308331,0.37343591602984816
0.5,0.5,0.11324119482835489,0.0,0.0,0.0,1.0,0.10041762847845338,0.35323864699128055,3978,0,508,0,0.0,Dummy,No-skill baseline using the observed class prevalence.,0.13623284225878582,0.059139958990272135
