threshold,roc_auc,pr_auc,recall,precision,f1,specificity,brier,log_loss,tn,fp,fn,tp,predicted_positive_rate,total_cost,cost_per_patient
0.1,0.6536189880003902,0.20416696863856337,0.592391304347826,0.1844331641285956,0.2812903225806452,0.6394913986537023,0.10351005043200734,0.3558987040398563,855,482,75,109,0.388560157790927,857.0,0.5634451019066403
0.105,0.6536189880003902,0.20416696863856337,0.5543478260869565,0.19065420560747665,0.28372739916550765,0.6761406133133882,0.10351005043200734,0.3558987040398563,904,433,82,102,0.3517422748191979,843.0,0.5542406311637081
0.11,0.6536189880003902,0.20416696863856337,0.5217391304347826,0.19393939393939394,0.28276877761413843,0.7015706806282722,0.10351005043200734,0.3558987040398563,938,399,88,96,0.3254437869822485,839.0,0.5516107823800132
0.115,0.6536189880003902,0.20416696863856337,0.4945652173913043,0.2017738359201774,0.2866141732283465,0.7307404637247569,0.10351005043200734,0.3558987040398563,977,360,93,91,0.2965154503616042,825.0,0.5424063116370809
0.12,0.6536189880003902,0.20416696863856337,0.42934782608695654,0.20572916666666666,0.27816901408450706,0.7718773373223635,0.10351005043200734,0.3558987040398563,1032,305,105,79,0.252465483234714,830.0,0.5456936226166995
0.125,0.6536189880003902,0.20416696863856337,0.391304347826087,0.20224719101123595,0.26666666666666666,0.787584143605086,0.10351005043200734,0.3558987040398563,1053,284,112,72,0.23405654174884943,844.0,0.5548980933596318
0.13,0.6536189880003902,0.20416696863856337,0.3423913043478261,0.20723684210526316,0.2581967213114754,0.8197456993268512,0.10351005043200734,0.3558987040398563,1096,241,121,63,0.19986850756081526,846.0,0.5562130177514792
0.135,0.6536189880003902,0.20416696863856337,0.2717391304347826,0.20833333333333334,0.2358490566037736,0.8578908002991773,0.10351005043200734,0.3558987040398563,1147,190,134,50,0.15779092702169625,860.0,0.5654174884944115
0.14,0.6536189880003902,0.20416696863856337,0.2608695652173913,0.22857142857142856,0.2436548223350254,0.8788332086761406,0.10351005043200734,0.3558987040398563,1175,162,136,48,0.13806706114398423,842.0,0.5535831689677844
0.145,0.6536189880003902,0.20416696863856337,0.24456521739130435,0.24064171122994651,0.24258760107816713,0.893792071802543,0.10351005043200734,0.3558987040398563,1195,142,139,45,0.12294543063773833,837.0,0.5502958579881657
0.15,0.6536189880003902,0.20416696863856337,0.22282608695652173,0.2469879518072289,0.2342857142857143,0.906507105459985,0.10351005043200734,0.3558987040398563,1212,125,143,41,0.1091387245233399,840.0,0.5522682445759369
0.155,0.6536189880003902,0.20416696863856337,0.21739130434782608,0.2564102564102564,0.23529411764705882,0.9132385938668661,0.10351005043200734,0.3558987040398563,1221,116,144,40,0.10256410256410256,836.0,0.5496383957922419
0.16,0.6536189880003902,0.20416696863856337,0.20108695652173914,0.2803030303030303,0.23417721518987342,0.9289454001495886,0.10351005043200734,0.3558987040398563,1242,95,147,37,0.08678500986193294,830.0,0.5456936226166995
0.165,0.6536189880003902,0.20416696863856337,0.20108695652173914,0.30578512396694213,0.24262295081967214,0.93717277486911,0.10351005043200734,0.3558987040398563,1253,84,147,37,0.07955292570677186,819.0,0.5384615384615384
0.17,0.6536189880003902,0.20416696863856337,0.1956521739130435,0.32142857142857145,0.24324324324324326,0.9431563201196709,0.10351005043200734,0.3558987040398563,1261,76,148,36,0.07363576594345825,816.0,0.5364891518737672
0.175,0.6536189880003902,0.20416696863856337,0.16847826086956522,0.3163265306122449,0.2198581560283688,0.949887808526552,0.10351005043200734,0.3558987040398563,1270,67,153,31,0.06443129520052597,832.0,0.5470085470085471
0.18,0.6536189880003902,0.20416696863856337,0.15760869565217392,0.31521739130434784,0.21014492753623187,0.9528795811518325,0.10351005043200734,0.3558987040398563,1274,63,155,29,0.060486522024983565,838.0,0.5509533201840894
0.185,0.6536189880003902,0.20416696863856337,0.15760869565217392,0.34523809523809523,0.21641791044776118,0.9588631264023935,0.10351005043200734,0.3558987040398563,1282,55,155,29,0.055226824457593686,830.0,0.5456936226166995
0.19,0.6536189880003902,0.20416696863856337,0.1358695652173913,0.3333333333333333,0.19305019305019305,0.9626028421839941,0.10351005043200734,0.3558987040398563,1287,50,159,25,0.04930966469428008,845.0,0.5555555555555556
