threshold,roc_auc,pr_auc,recall,precision,f1,specificity,brier,log_loss,tn,fp,fn,tp,predicted_positive_rate,total_cost,cost_per_patient
0.095,0.6534421644824558,0.2124846387926167,0.6956521739130435,0.16161616161616163,0.26229508196721313,0.5033657442034405,0.10283803935166289,0.35352388066469487,673,664,56,128,0.5207100591715976,944.0,0.6206443129520053
0.1,0.6534421644824558,0.2124846387926167,0.6521739130434783,0.1702127659574468,0.26996625421822273,0.56245325355273,0.10283803935166289,0.35352388066469487,752,585,64,120,0.4635108481262327,905.0,0.5950032873109796
0.105,0.6534421644824558,0.2124846387926167,0.6195652173913043,0.17647058823529413,0.2746987951807229,0.6020942408376964,0.10283803935166289,0.35352388066469487,805,532,70,114,0.4247205785667324,882.0,0.5798816568047337
0.11,0.6534421644824558,0.2124846387926167,0.5597826086956522,0.18101933216168717,0.2735723771580345,0.6514584891548242,0.10283803935166289,0.35352388066469487,871,466,81,103,0.37409598948060485,871.0,0.5726495726495726
0.115,0.6534421644824558,0.2124846387926167,0.5163043478260869,0.19230769230769232,0.28023598820059,0.7015706806282722,0.10283803935166289,0.35352388066469487,938,399,89,95,0.3247863247863248,844.0,0.5548980933596318
0.12,0.6534421644824558,0.2124846387926167,0.5054347826086957,0.21136363636363636,0.2980769230769231,0.7404637247569185,0.10283803935166289,0.35352388066469487,990,347,91,93,0.2892833662064431,802.0,0.5272846811308349
0.125,0.6534421644824558,0.2124846387926167,0.4673913043478261,0.22279792746113988,0.3017543859649123,0.7756170531039641,0.10283803935166289,0.35352388066469487,1037,300,98,86,0.25378040762656146,790.0,0.5193951347797502
0.13,0.6534421644824558,0.2124846387926167,0.42391304347826086,0.23353293413173654,0.30115830115830117,0.8085265519820494,0.10283803935166289,0.35352388066469487,1081,256,106,78,0.21959237343852728,786.0,0.5167652859960552
0.135,0.6534421644824558,0.2124846387926167,0.3967391304347826,0.24496644295302014,0.3029045643153527,0.831712789827973,0.10283803935166289,0.35352388066469487,1112,225,111,73,0.19592373438527286,780.0,0.5128205128205128
0.14,0.6534421644824558,0.2124846387926167,0.3695652173913043,0.2537313432835821,0.3008849557522124,0.8504113687359761,0.10283803935166289,0.35352388066469487,1137,200,116,68,0.1761998685075608,780.0,0.5128205128205128
0.145,0.6534421644824558,0.2124846387926167,0.33152173913043476,0.25957446808510637,0.2911694510739857,0.8698578908002992,0.10283803935166289,0.35352388066469487,1163,174,123,61,0.15450361604207757,789.0,0.5187376725838264
0.15,0.6534421644824558,0.2124846387926167,0.30978260869565216,0.2651162790697674,0.2857142857142857,0.8818249813014211,0.10283803935166289,0.35352388066469487,1179,158,127,57,0.14135437212360288,793.0,0.5213675213675214
0.155,0.6534421644824558,0.2124846387926167,0.30434782608695654,0.27860696517412936,0.2909090909090909,0.8915482423335827,0.10283803935166289,0.35352388066469487,1192,145,128,56,0.13214990138067062,785.0,0.5161078238001315
0.16,0.6534421644824558,0.2124846387926167,0.2717391304347826,0.26455026455026454,0.2680965147453083,0.8960359012715033,0.10283803935166289,0.35352388066469487,1198,139,134,50,0.1242603550295858,809.0,0.5318869165023011
0.165,0.6534421644824558,0.2124846387926167,0.24456521739130435,0.26785714285714285,0.2556818181818182,0.9080029917726253,0.10283803935166289,0.35352388066469487,1214,123,139,45,0.11045364891518737,818.0,0.5378040762656148
0.17,0.6534421644824558,0.2124846387926167,0.20108695652173914,0.2569444444444444,0.22560975609756098,0.9199700822737472,0.10283803935166289,0.35352388066469487,1230,107,147,37,0.09467455621301775,842.0,0.5535831689677844
0.175,0.6534421644824558,0.2124846387926167,0.18478260869565216,0.2698412698412698,0.21935483870967742,0.931189229618549,0.10283803935166289,0.35352388066469487,1245,92,150,34,0.08284023668639054,842.0,0.5535831689677844
